7.832900;9.528900;'Ah, Moment'
10.912500;11.448100;'Ja'
13.255700;13.590400;'...'
29.724900;30.394400;'Aha'
31.621800;33.072300;'...'
36.754400;39.543900;'Also das war das Produkt mit dem Wasser, gell?'
40.882900;41.502207;'Also'
41.502207;42.692895;'<breathing>'
42.692895;45.196153;'Wasser ist für mich ein ganz wichtiger Teil'
45.530546;48.380698;'aber es war mir zu langweilig.'
51.326800;51.728500;'Ja'
54.160900;54.793539;'Und'
54.793539;55.343568;'<filler>'
55.712338;56.715516;'es war auch'
56.718641;57.115537;'<filler>'
58.387480;60.975118;'also irgendwie mit makaber'
62.272062;62.956473;'<filler>'
63.084605;64.644063;'langweilig, boring.'
69.068000;73.513284;'... das ist schon wahr. Also die Wichtigkeit des Wassers habe ich'
71.863197;78.204159;'wie gesagt, schon verstanden, aber die Handlungen, die sie'
78.204159;82.738775;'die verschiedenen Handlungen, fand ich eher langweilig.'
83.551100;84.307608;'<filler>'
84.304483;84.760757;'<breathing>'
84.760757;87.604659;'eigentlich kann ich da gar nichts dazu sagen, weil'
88.129687;89.039110;'<filler>'
89.039110;90.901709;'weil ich finde der Zusammenhang'
90.901709;91.314231;'<filler>'
91.511116;94.817542;'mit dem Händewaschen in verschiedenen'
94.817542;95.186240;'<filler>'
95.186240;96.347311;'Handlungen,'
97.023910;97.544250;'<filler>'
97.544250;98.289602;'<breathing>'
98.289602;101.964797;'ja, ich weiß nicht, wie ich das im Zusammenhang mit dem Wasser sehe.'
102.452700;102.780466;'<filler>'
102.780466;103.877399;'mein,'
103.877399;104.527434;'<breathing>'
104.527434;107.015066;'Wasser ist für mich ein wichtiges Produkt'
107.624473;110.458999;'aber dass ich so extrem sehe'
110.458999;112.777872;'was man mit dem Wasser alles machen kann'
113.271649;113.649794;'<filler>'
113.649794;118.846945;'das finde ich sau blöd, also, sogar mit dem'
118.846945;124.125351;'mit dem Geschirrwaschen oder das mit dem Fleisch'
124.125351;128.613254;'mit dem Hühnerfleisch, also ich finde'
128.613254;130.525691;'da hätten sie völlig andere Bilder nehmen können.'
132.333800;133.918200;'Was meinst denn Du?'
138.247500;140.077500;'Ja, klar'
147.245330;152.048711;'Genau, meine, es wurde natürlich auch auch auf Hygiene auch geachtet'
152.048711;156.298937;'dass man auf dem Fleisch, das nicht irgendwie angreifen soll, das'
157.089604;157.414621;'<filler>'
157.414621;160.433532;'ja, ich weiß nicht, was man sich dabei gedacht hat'
160.433532;163.133675;'es ist auch Hygiene dabei, weil'
163.133675;163.558698;'<fumbling>'
163.558698;168.900750;'das letzte Bild war dann das Geschirr zum Waschen, also'
170.382600;174.570700;'Ich, ich habe, ich sehe daraus also nicht wirklich eine Handlung.'
